TenantId,Computer,ObjectName,CounterName,InstanceName,Min,Max,SampleCount,CounterValue,TimeGenerated,BucketStartTime,BucketEndTime,SourceSystem,CounterPath,StandardDeviation,MG,Type,"_ResourceId"
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"Disk Writes/sec","C:",null,null,null,"10.283429145813","2019-09-20T09:58:07.79Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(C:)\Disk Writes/sec",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"Disk Writes/sec",HarddiskVolume1,null,null,null,0,"2019-09-20T09:58:07.79Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(HarddiskVolume1)\Disk Writes/sec",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"Disk Writes/sec",HarddiskVolume2,null,null,null,0,"2019-09-20T09:58:07.79Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(HarddiskVolume2)\Disk Writes/sec",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"Disk Writes/sec","_Total",null,null,null,"10.283429145813","2019-09-20T09:58:07.79Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(_Total)\Disk Writes/sec",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"% Free Space","C:",null,null,null,"14.7373180389404","2019-09-20T09:58:07.79Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(C:)\% Free Space",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"% Free Space",HarddiskVolume1,null,null,null,"26.3052215576172","2019-09-20T09:58:07.79Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(HarddiskVolume1)\% Free Space",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"% Free Space",HarddiskVolume2,null,null,null,"94.7474746704102","2019-09-20T09:58:07.79Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(HarddiskVolume2)\% Free Space",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"% Free Space","_Total",null,null,null,"14.9231958389282","2019-09-20T09:58:07.793Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(_Total)\% Free Space",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"Avg. Disk sec/Read","C:",null,null,null,0,"2019-09-20T09:58:07.79Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(C:)\Avg. Disk sec/Read",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"Avg. Disk sec/Read",HarddiskVolume1,null,null,null,0,"2019-09-20T09:58:07.79Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(HarddiskVolume1)\Avg. Disk sec/Read",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"Avg. Disk sec/Read",HarddiskVolume2,null,null,null,0,"2019-09-20T09:58:07.79Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(HarddiskVolume2)\Avg. Disk sec/Read",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"Avg. Disk sec/Read","_Total",null,null,null,0,"2019-09-20T09:58:07.793Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(_Total)\Avg. Disk sec/Read",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com","Network Interface","Bytes Total/sec","Intel[R] Dual Band Wireless-AC 8260",null,null,null,"2471.18725585938","2019-09-20T09:58:07.787Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\Network Interface(Intel[R] Dual Band Wireless-AC 8260)\Bytes Total/sec",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com","Network Interface","Bytes Total/sec","Intel[R] Ethernet Connection I219-LM",null,null,null,0,"2019-09-20T09:58:07.79Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\Network Interface(Intel[R] Ethernet Connection I219-LM)\Bytes Total/sec",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"Current Disk Queue Length","C:",null,null,null,0,"2019-09-20T09:58:07.783Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(C:)\Current Disk Queue Length",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"Current Disk Queue Length",HarddiskVolume1,null,null,null,0,"2019-09-20T09:58:07.783Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(HarddiskVolume1)\Current Disk Queue Length",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"Current Disk Queue Length",HarddiskVolume2,null,null,null,0,"2019-09-20T09:58:07.783Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(HarddiskVolume2)\Current Disk Queue Length",null,"00000000-0000-0000-0000-000000000001",Perf,
"80a65063-8611-4b2f-8105-c8501f847eb7","AMEETK-WORK.fareast.corp.microsoft.com",LogicalDisk,"Current Disk Queue Length","_Total",null,null,null,0,"2019-09-20T09:58:07.783Z",null,null,OpsManager,"\\AMEETK-WORK.fareast.corp.microsoft.com\LogicalDisk(_Total)\Current Disk Queue Length",null,"00000000-0000-0000-0000-000000000001",Perf,
